Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,40,1,32,16,2432,0.229399,0.0006398072596958,0.0256104999999999,0.2556493072596958,0.1499815,10.525953790387836,3800.130686164277,139.05063772398117,606.1518913507956,1.0
Llama2-13B,20,40,1,32,16,2560,0.2315705,0.0006398072596958,0.0267105,0.2589208072596959,0.1499815,10.656813790387837,3753.467104405912,139.44490819291147,602.1704327317661,1.0
Llama2-13B,20,40,1,32,16,2688,0.235963,0.0006398072596958,0.0278105,0.2644133072596958,0.1499815,10.876513790387834,3677.6489940508486,140.74526490711898,596.4717557715362,1.0
Llama2-13B,20,40,1,32,16,2816,0.2381345,0.0006398072596958,0.0289105,0.2676848072596958,0.1499815,11.007373790387833,3633.9276526549793,141.13953537604928,592.6883142763829,1.0
Llama2-13B,20,40,1,32,16,2944,0.242527,0.0006398072596958,0.0300105,0.2731773072596958,0.1499815,11.227073790387836,3562.8161662432803,142.43989209025682,587.3156064696171,1.0
Llama2-13B,20,40,1,32,16,3072,0.2446985,0.0006398072596958,0.0311105,0.2764488072596959,0.1499815,11.357933790387834,3521.7673159753595,142.83416255918715,583.7149085882714,1.0
Llama2-13B,20,40,1,32,16,3200,0.251081,0.0006398072596958,0.0322105,0.2839313072596958,0.1499815,11.657233790387831,3431.3457823058047,145.03496779811923,577.642146550791,1.0
Llama2-13B,20,40,1,32,16,3328,0.2532525,0.0006398072596958,0.0333105,0.2872028072596959,0.1499815,11.788093790387835,3393.254304832264,145.4292382670495,574.2460124462717,1.0
Llama2-13B,20,40,1,32,16,3456,0.257645,0.0006398072596958,0.0344105,0.2926953072596959,0.1499815,12.007793790387836,3331.169796738161,146.72959498125704,569.502978832335,1.0
Llama2-13B,20,40,1,32,16,3584,0.2598165,0.0006398072596958,0.0355105,0.2959668072596959,0.1499815,12.138653790387837,3295.258328536774,147.12386545018725,566.2606703199655,1.0
Llama2-13B,20,40,1,32,16,3712,0.264209,0.0006398072596958,0.0366105,0.3014593072596959,0.1499815,12.358353790387836,3236.6770427879696,148.42422216439485,561.768229562183,1.0
Llama2-13B,20,40,1,32,16,3840,0.2663805,0.0006398072596958,0.0377105,0.3047308072596959,0.1499815,12.489213790387838,3202.7636544091733,148.81849263332512,558.6688689049129,1.0
Llama2-13B,20,40,1,32,16,3968,0.270773,0.0006398072596958,0.0388105,0.3102233072596959,0.1499815,12.708913790387834,3147.3972252650974,150.11884934753266,554.4084873585352,1.0
Llama2-13B,20,40,1,32,16,4096,0.2729445,0.0006398072596958,0.0399105,0.3134948072596958,0.1499815,12.839773790387836,3115.3196818735983,150.51311981646296,551.4422156023037,1.0
Llama2-70B,32,80,1,32,10,128,0.66696,0.0014614998626708,0.009861,0.6782824998626709,0.382388,54.79498798901366,1459.987545138981,648.9783667946302,973.0394128502908,0.84375
Llama2-70B,32,80,1,32,10,256,0.675477,0.0014614998626708,0.012501,0.6894394998626708,0.382388,55.68754798901367,1436.5868652680276,651.6609821715318,964.7419263298848,0.84375
Llama2-70B,32,80,1,32,10,384,0.684001,0.0014614998626708,0.0151409999999999,0.7006034998626708,0.382388,56.58066798901366,1413.9104899845595,654.7118866405594,957.1797214339742,0.84375
